车名,里程数,年份,城市,售价,原价,变速箱,排放标准,排量/续航,发布时间,年检到期,保险到期,过户次数,马力,气缸类型,车辆级别,燃油标号,驱动方式,品牌
途乐 2018款 4.0L 领英型,4.9,2020-04,福州,30.50,60.57,自动,国V,4L,2023-11-07,2024-04,2024-04,3,279,V6,大型SUV,95,前置四驱,日产
哈弗F7 2019款 1.5T 两驱i潮 国VI,5.1,2019-11,宁德,7.50,14.87,自动,国VI,1.5L,2023-11-26,2023-11,2023-11,0,169,L4,紧凑型SUV,92,前置前驱,哈弗
飞度 2018款 1.5L CVT舒适版,5,2019-05,宁德,5.30,8.88,自动,国V,1.5L,2023-12-06,2025-05,2024-05,0,131,L4,小型车,92,前置前驱,本田
捷豹XF 2015款 XF 2.0T 豪华版,7.5,2014-10,宁德,9.98,66.21,自动,欧V,2L,2023-12-06,2024-10,2024-10,0,240,L4,中大型车,95,前置后驱,捷豹
英朗 2017款 15N 自动精英型,7,2017-07,宁德,3.70,13.77,自动,国V,1.5L,2023-12-07,2024-7,2024-7,0,114,L4,紧凑型车,92,前置前驱,别克
英朗 2013款 GT 1.8L 自动时尚版,8,2013-05,宁德,1.78,17.94,自动,欧V,1.8L,2023-12-09,2024-05,2024-05,0,147,L4,紧凑型车,92,前置前驱,别克
秦PLUS 2023款 冠军版 DM-i 55KM领先型,0.49,2023-07,宁德,8.98,10.83,自动,插电混动,46km,2023-10-19,2025-07,2024-07,0,110,L4,紧凑型车,前置前驱,"
            ",比亚迪
宝马3系 2013款 320Li 风尚设计套装,12,2012-10,宁德,7.20,43.96,自动,国IV(国V),2L,2023-12-07,2024-10,2024-10,0,184,L4,中型车,95,前置后驱,宝马
起亚K5 2012款 2.0L 自动GLS,11,2014-01,宁德,4.30,19.41,自动,国IV(国V),2L,2023-12-07,2024-1,2024-1,0,162,L4,中型车,92,前置前驱,起亚
博越 2018款 1.8TD 自动两驱智联型4G互联版,4.4,2019-06,宁德,6.80,14.09,自动,国V,1.8L,2023-12-02,2025-06,2024-06,0,184,L4,紧凑型SUV,92,前置前驱,吉利汽车
缤智 2017款 1.8L CVT两驱精英型,6,2018-01,宁德,7.98,15.93,自动,国V,1.8L,2023-12-02,2024-1,2024-1,0,136,L4,小型SUV,92,前置前驱,本田
一汽-大众CC 2013款 2.0TSI 豪华型,12,2014-01,宁德,6.20,30.81,自动,国V+OBD,2L,2023-12-07,2024-1,2024-1,0,200,L4,中型车,95,前置前驱,大众
RAV4荣放 2013款 2.0L CVT两驱都市版,11.6,2014-05,宁德,6.30,21.04,自动,国IV(国V),2L,2023-12-07,2024-5,2024-5,0,147,L4,紧凑型SUV,92,前置前驱,丰田
MINI 2007款 1.6L COOPER Excitement,13,2010-11,宁德,3.98,34.52,自动,欧V,1.6L,2023-12-07,2023-11,2023-11,0,120,L4,小型车,95,前置前驱,MINI
嘉年华 2009款 两厢 1.5L 自动时尚型,13,2010-07,宁德,1.60,10.41,自动,国IV,1.5L,2023-12-07,2023-7,2023-7,0,103,L4,小型车,92,前置前驱,福特
雷克萨斯RX经典 2013款 270 典雅版,12,2015-02,宁德,15.60,53.84,自动,欧IV,2.7L,2023-12-07,2024-2,2024-2,0,188,L4,中型SUV,92,前置前驱,雷克萨斯
宝马5系 2013款 525Li 豪华型,12.5,2013-02,宁德,10.80,53.69,自动,国IV(国V),2L,2023-12-07,2024-2,2024-2,0,218,L4,中大型车,95,前置后驱,宝马
瑞风M4 2016款 2.0L 手动豪华型,11.8,2016-12,宁德,3.90,13.00,手动,国V,2L,2023-12-07,2023-12,2023-12,0,147,L4,,92,前置后驱,江淮瑞风
绅宝X25 2015款 1.5L 自动精英型,7,2016-09,宁德,2.20,7.47,自动,国IV(国V),1.5L,2023-12-07,2023-9,2023-9,0,116,L4,小型SUV,92,前置前驱,北京汽车
宝骏730 2016款 1.5L 手动舒适型 7座 国V,11,2016-01,宁德,2.98,7.58,手动,国IV(国V),1.5L,2023-12-03,2024-1,2024-1,0,112,L4,,92,前置前驱,宝骏
